Designator,Mid X,Mid Y,Rotation,Layer
_51,135.15,-85.69,0.0,top
_50,152.98,-85.7,0.0,top
_49,152.99,-106.09,0.0,top
_48,124.98,-106.09,0.0,top
_47,124.95,-93.36,0.0,top
_46,124.96,-85.7,0.0,top
_45,135.13,-106.12,0.0,top
_44,130.05,-106.12,0.0,top
_43,127.48,-106.12,0.0,top
_42,124.94,-103.59,0.0,top
_41,156.18,-101.02,0.0,top
_40,150.42,-101.01,0.0,top
_39,150.46,-103.53,0.0,top
_38,140.19,-106.14,0.0,top
_37,142.78,-106.13,0.0,top
_36,145.34,-103.57,0.0,top
_35,140.22,-103.57,0.0,top
_34,140.23,-101.01,0.0,top
_33,135.13,-101.01,0.0,top
_32,135.13,-103.57,0.0,top
_31,124.94,-98.47,0.0,top
_30,127.51,-98.47,0.0,top
_29,130.04,-98.48,0.0,top
_28,130.11,-95.94,0.0,top
_27,132.59,-95.93,0.0,top
_26,137.67,-93.36,0.0,top
_25,137.67,-95.87,0.0,top
_24,140.23,-95.93,0.0,top
_23,142.79,-98.51,0.0,top
_22,142.78,-95.93,0.0,top
_21,145.33,-98.49,0.0,top
_20,145.36,-95.94,0.0,top
_19,147.88,-95.92,0.0,top
_18,150.43,-98.49,0.0,top
_17,150.47,-95.95,0.0,top
_16,152.96,-95.95,0.0,top
_15,156.18,-95.92,0.0,top
_14,156.17,-90.84,0.0,top
_13,152.96,-90.84,0.0,top
_12,155.54,-85.72,0.0,top
_11,150.44,-88.28,0.0,top
_10,147.9,-88.29,0.0,top
_9,145.31,-88.27,0.0,top
_8,142.79,-88.28,0.0,top
_7,140.25,-88.27,0.0,top
_6,137.69,-90.84,0.0,top
_5,132.58,-88.29,0.0,top
_4,130.04,-88.3,0.0,top
_3,124.9,-88.3,0.0,top
_2,124.93,-90.84,0.0,top
,153.55,-99.98,0.0,top
